"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年03月05日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A2101","A210101","A210102","A2102","A2201","A2301"
"調査年 コード","調査年","地域 コード","地域","/項目","A2101_住民基本台帳人口（日本人）【人】","A210101_住民基本台帳人口（日本人）（男）【人】","A210102_住民基本台帳人口（日本人）（女）【人】","A2102_行政区域内人口（住民基本台帳人口＋外国人登録人口）【人】","A2201_住民基本台帳人口（外国人）【人】","A2301_住民基本台帳人口（総数）【人】"
"2018100000","2018年度","14000","神奈川県","","8,976,954","4,483,000","4,493,954","***","212,567","9,189,521"
"2018100000","2018年度","15000","新潟県","","2,242,517","1,090,111","1,152,406","***","16,792","2,259,309"
"2018100000","2018年度","16000","富山県","","1,045,031","507,059","537,972","***","18,262","1,063,293"
"2018100000","2018年度","17000","石川県","","1,130,737","547,478","583,259","***","15,211","1,145,948"
"2018100000","2018年度","18000","福井県","","771,847","375,577","396,270","***","14,656","786,503"
"2018100000","2018年度","19000","山梨県","","817,065","401,241","415,824","***","15,704","832,769"
"2018100000","2018年度","20000","長野県","","2,066,413","1,011,174","1,055,239","***","35,478","2,101,891"
"2018100000","2018年度","21000","岐阜県","","1,990,598","970,193","1,020,405","***","53,516","2,044,114"
"2018100000","2018年度","22000","静岡県","","3,637,196","1,798,022","1,839,174","***","89,341","3,726,537"
"2018100000","2018年度","23000","愛知県","","7,311,801","3,665,989","3,645,812","***","253,508","7,565,309"
"2018100000","2018年度","24000","三重県","","1,773,994","867,192","906,802","***","50,643","1,824,637"
"2018100000","2018年度","25000","滋賀県","","1,390,806","685,420","705,386","***","29,274","1,420,080"
"2018100000","2018年度","26000","京都府","","2,494,923","1,195,020","1,299,903","***","60,145","2,555,068"
"2018100000","2018年度","27000","大阪府","","8,613,021","4,156,612","4,456,409","***","235,977","8,848,998"
"2018100000","2018年度","28000","兵庫県","","5,462,316","2,618,245","2,844,071","***","108,302","5,570,618"
"2018100000","2018年度","29000","奈良県","","1,350,265","641,335","708,930","***","12,516","1,362,781"
"2018100000","2018年度","30000","和歌山県","","958,055","454,099","503,956","***","6,543","964,598"
"2018100000","2018年度","31000","鳥取県","","561,445","269,128","292,317","***","4,607","566,052"
"2018100000","2018年度","32000","島根県","","677,251","325,315","351,936","***","8,875","686,126"
"2018100000","2018年度","33000","岡山県","","1,883,926","909,803","974,123","***","27,796","1,911,722"
"2018100000","2018年度","34000","広島県","","2,787,086","1,351,475","1,435,611","***","51,546","2,838,632"
"2018100000","2018年度","35000","山口県","","1,366,822","649,283","717,539","***","16,257","1,383,079"
"2018100000","2018年度","36000","徳島県","","744,521","356,445","388,076","***","5,998","750,519"
"2018100000","2018年度","37000","香川県","","974,869","471,157","503,712","***","12,467","987,336"
"2018100000","2018年度","38000","愛媛県","","1,369,853","649,749","720,104","***","11,908","1,381,761"
"2018100000","2018年度","39000","高知県","","713,006","336,577","376,429","***","4,474","717,480"
"2018100000","2018年度","40000","福岡県","","5,055,178","2,401,212","2,653,966","***","76,127","5,131,305"
"2018100000","2018年度","41000","佐賀県","","822,443","390,905","431,538","***","6,338","828,781"
"2018100000","2018年度","42000","長崎県","","1,355,223","638,692","716,531","***","10,168","1,365,391"
"2018100000","2018年度","43000","熊本県","","1,764,768","837,325","927,443","***","15,311","1,780,079"
"2018100000","2018年度","44000","大分県","","1,147,448","545,477","601,971","***","12,770","1,160,218"
"2018100000","2018年度","45000","宮崎県","","1,097,293","519,739","577,554","***","6,462","1,103,755"
"2018100000","2018年度","46000","鹿児島県","","1,633,098","771,549","861,549","***","10,339","1,643,437"
"2018100000","2018年度","47000","沖縄県","","1,458,686","718,411","740,275","***","17,492","1,476,178"
"2017100000","2017年度","01000","北海道","","5,307,813","2,508,580","2,799,233","***","31,726","5,339,539"
"2017100000","2017年度","02000","青森県","","1,303,668","617,973","685,695","***","5,039","1,308,707"
"2017100000","2017年度","03000","岩手県","","1,257,779","605,443","652,336","***","6,550","1,264,329"
"2017100000","2017年度","04000","宮城県","","2,291,981","1,118,743","1,173,238","***","20,099","2,312,080"
"2017100000","2017年度","05000","秋田県","","1,011,297","477,714","533,583","***","3,760","1,015,057"
"2017100000","2017年度","06000","山形県","","1,100,338","531,576","568,762","***","6,646","1,106,984"
"2017100000","2017年度","07000","福島県","","1,906,896","935,846","971,050","***","12,784","1,919,680"
"2017100000","2017年度","08000","茨城県","","2,889,169","1,445,980","1,443,189","***","61,918","2,951,087"
"2017100000","2017年度","09000","栃木県","","1,946,895","971,927","974,968","***","38,843","1,985,738"
"2017100000","2017年度","10000","群馬県","","1,937,076","958,673","978,403","***","53,508","1,990,584"
"2017100000","2017年度","11000","埼玉県","","7,198,829","3,608,099","3,590,730","***","164,182","7,363,011"
"2017100000","2017年度","12000","千葉県","","6,155,641","3,076,813","3,078,828","***","143,351","6,298,992"
"2017100000","2017年度","13000","東京都","","13,115,844","6,466,112","6,649,732","***","521,502","13,637,346"
"2017100000","2017年度","14000","神奈川県","","8,972,770","4,484,243","4,488,527","***","198,504","9,171,274"
"2017100000","2017年度","15000","新潟県","","2,265,730","1,100,819","1,164,911","***","15,561","2,281,291"
"2017100000","2017年度","16000","富山県","","1,052,868","510,510","542,358","***","16,644","1,069,512"
"2017100000","2017年度","17000","石川県","","1,136,795","550,121","586,674","***","13,603","1,150,398"
"2017100000","2017年度","18000","福井県","","777,330","378,052","399,278","***","13,428","790,758"
"2017100000","2017年度","19000","山梨県","","823,733","404,427","419,306","***","15,090","838,823"
"2017100000","2017年度","20000","長野県","","2,081,175","1,017,768","1,063,407","***","32,965","2,114,140"
"2017100000","2017年度","21000","岐阜県","","2,005,181","977,151","1,028,030","***","49,168","2,054,349"
"2017100000","2017年度","22000","静岡県","","3,660,340","1,808,839","1,851,501","***","82,675","3,743,015"
"2017100000","2017年度","23000","愛知県","","7,316,520","3,669,383","3,647,137","***","235,320","7,551,840"
"2017100000","2017年度","24000","三重県","","1,786,598","872,817","913,781","***","47,671","1,834,269"
"2017100000","2017年度","25000","滋賀県","","1,393,088","686,444","706,644","***","26,547","1,419,635"
"2017100000","2017年度","26000","京都府","","2,506,201","1,201,084","1,305,117","***","56,951","2,563,152"
"2017100000","2017年度","27000","大阪府","","8,631,175","4,169,917","4,461,258","***","225,269","8,856,444"
"2017100000","2017年度","28000","兵庫県","","5,485,652","2,630,490","2,855,162","***","104,056","5,589,708"
"2017100000","2017年度","29000","奈良県","","1,359,935","646,395","713,540","***","11,765","1,371,700"
"2017100000","2017年度","30000","和歌山県","","968,748","459,149","509,599","***","6,326","975,074"
"2017100000","2017年度","31000","鳥取県","","566,495","271,447","295,048","***","4,329","570,824"
"2017100000","2017年度","32000","島根県","","683,536","327,874","355,662","***","7,689","691,225"
"2017100000","2017年度","33000","岡山県","","1,895,025","914,814","980,211","***","25,594","1,920,619"
"2017100000","2017年度","34000","広島県","","2,800,530","1,357,787","1,442,743","***","48,316","2,848,846"
"2017100000","2017年度","35000","山口県","","1,380,790","655,346","725,444","***","15,407","1,396,197"
"2017100000","2017年度","36000","徳島県","","751,819","359,738","392,081","***","5,558","757,377"
"2017100000","2017年度","37000","香川県","","981,673","474,258","507,415","***","11,532","993,205"
"2017100000","2017年度","38000","愛媛県","","1,382,748","655,502","727,246","***","11,591","1,394,339"
"2017100000","2017年度","39000","高知県","","721,032","340,097","380,935","***","4,257","725,289"
"2017100000","2017年度","40000","福岡県","","5,059,737","2,402,800","2,656,937","***","71,036","5,130,773"
"2017100000","2017年度","41000","佐賀県","","827,606","393,043","434,563","***","5,666","833,272"
"2017100000","2017年度","42000","長崎県","","1,369,146","644,566","724,580","***","9,857","1,379,003"
"2017100000","2017年度","43000","熊本県","","1,775,773","842,009","933,764","***","13,411","1,789,184"
"2017100000","2017年度","44000","大分県","","1,157,282","549,894","607,388","***","11,876","1,169,158"
"2017100000","2017年度","45000","宮崎県","","1,106,309","523,731","582,578","***","5,699","1,112,008"
"2017100000","2017年度","46000","鹿児島県","","1,646,915","777,294","869,621","***","8,973","1,655,888"
"2017100000","2017年度","47000","沖縄県","","1,456,122","716,957","739,165","***","15,414","1,471,536"
"2016100000","2016年度","01000","北海道","","5,342,618","2,525,160","2,817,458","***","28,189","5,370,807"
