"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年03月05日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A2101","A210101","A210102","A2102","A2201","A2301"
"調査年 コード","調査年","地域 コード","地域","/項目","A2101_住民基本台帳人口（日本人）【人】","A210101_住民基本台帳人口（日本人）（男）【人】","A210102_住民基本台帳人口（日本人）（女）【人】","A2102_行政区域内人口（住民基本台帳人口＋外国人登録人口）【人】","A2201_住民基本台帳人口（外国人）【人】","A2301_住民基本台帳人口（総数）【人】"
"2010100000","2010年度","02000","青森県","","1,395,886","662,430","733,456","1,400,343","***","***"
"2010100000","2010年度","03000","岩手県","","1,334,814","641,096","693,718","1,341,005","***","***"
"2010100000","2010年度","04000","宮城県","","2,318,956","1,127,216","1,191,740","2,335,057","***","***"
"2010100000","2010年度","05000","秋田県","","1,097,588","518,609","578,979","1,101,649","***","***"
"2010100000","2010年度","06000","山形県","","1,168,752","562,996","605,756","1,175,343","***","***"
"2010100000","2010年度","07000","福島県","","2,036,146","991,824","1,044,322","2,047,477","***","***"
"2010100000","2010年度","08000","茨城県","","2,973,174","1,486,528","1,486,646","3,027,613","***","***"
"2010100000","2010年度","09000","栃木県","","1,995,901","994,133","1,001,768","2,028,508","***","***"
"2010100000","2010年度","10000","群馬県","","1,998,558","987,671","1,010,887","2,041,640","***","***"
"2010100000","2010年度","11000","埼玉県","","7,140,929","3,594,851","3,546,078","7,264,066","***","***"
"2010100000","2010年度","12000","千葉県","","6,161,921","3,089,444","3,072,477","6,276,175","***","***"
"2010100000","2010年度","13000","東京都","","12,662,461","6,275,193","6,387,268","13,080,473","***","***"
"2010100000","2010年度","14000","神奈川県","","8,906,590","4,481,050","4,425,540","9,075,995","***","***"
"2010100000","2010年度","15000","新潟県","","2,378,853","1,153,973","1,224,880","2,392,684","***","***"
"2010100000","2010年度","16000","富山県","","1,092,885","527,854","565,031","1,106,742","***","***"
"2010100000","2010年度","17000","石川県","","1,160,206","559,359","600,847","1,171,492","***","***"
"2010100000","2010年度","18000","福井県","","806,428","391,457","414,971","818,846","***","***"
"2010100000","2010年度","19000","山梨県","","860,559","422,626","437,933","876,291","***","***"
"2010100000","2010年度","20000","長野県","","2,153,802","1,051,779","1,102,023","2,188,988","***","***"
"2010100000","2010年度","21000","岐阜県","","2,076,675","1,012,043","1,064,632","2,125,136","***","***"
"2010100000","2010年度","22000","静岡県","","3,760,801","1,857,844","1,902,957","3,846,959","***","***"
"2010100000","2010年度","23000","愛知県","","7,249,626","3,636,521","3,613,105","7,454,462","***","***"
"2010100000","2010年度","24000","三重県","","1,844,293","899,926","944,367","1,890,768","***","***"
"2010100000","2010年度","25000","滋賀県","","1,390,927","685,552","705,375","1,417,344","***","***"
"2010100000","2010年度","26000","京都府","","2,547,225","1,224,789","1,322,436","2,599,967","***","***"
"2010100000","2010年度","27000","大阪府","","8,681,623","4,218,182","4,463,441","8,888,574","***","***"
"2010100000","2010年度","28000","兵庫県","","5,580,139","2,684,529","2,895,610","5,680,526","***","***"
"2010100000","2010年度","29000","奈良県","","1,406,701","671,702","734,999","1,418,005","***","***"
"2010100000","2010年度","30000","和歌山県","","1,025,613","486,125","539,488","1,031,765","***","***"
"2010100000","2010年度","31000","鳥取県","","592,213","283,326","308,887","596,386","***","***"
"2010100000","2010年度","32000","島根県","","718,218","342,801","375,417","723,913","***","***"
"2010100000","2010年度","33000","岡山県","","1,934,057","932,602","1,001,455","1,956,451","***","***"
"2010100000","2010年度","34000","広島県","","2,852,728","1,380,736","1,471,992","2,892,385","***","***"
"2010100000","2010年度","35000","山口県","","1,455,401","688,770","766,631","1,469,725","***","***"
"2010100000","2010年度","36000","徳島県","","791,242","376,501","414,741","796,399","***","***"
"2010100000","2010年度","37000","香川県","","1,009,794","486,413","523,381","1,018,183","***","***"
"2010100000","2010年度","38000","愛媛県","","1,450,262","686,303","763,959","1,459,248","***","***"
"2010100000","2010年度","39000","高知県","","766,426","360,489","405,937","769,886","***","***"
"2010100000","2010年度","40000","福岡県","","5,043,494","2,393,825","2,649,669","5,096,244","***","***"
"2010100000","2010年度","41000","佐賀県","","855,968","405,516","450,452","860,278","***","***"
"2010100000","2010年度","42000","長崎県","","1,440,853","676,042","764,811","1,448,551","***","***"
"2010100000","2010年度","43000","熊本県","","1,828,471","863,695","964,776","1,837,475","***","***"
"2010100000","2010年度","44000","大分県","","1,201,901","569,465","632,436","1,212,550","***","***"
"2010100000","2010年度","45000","宮崎県","","1,147,867","542,091","605,776","1,152,146","***","***"
"2010100000","2010年度","46000","鹿児島県","","1,713,984","805,361","908,623","1,720,177","***","***"
"2010100000","2010年度","47000","沖縄県","","1,413,583","696,260","717,323","1,422,516","***","***"
"2009100000","2009年度","01000","北海道","","5,520,894","2,618,969","2,901,925","5,542,760","***","***"
"2009100000","2009年度","02000","青森県","","1,405,535","667,377","738,158","1,410,330","***","***"
"2009100000","2009年度","03000","岩手県","","1,345,007","645,922","699,085","1,351,356","***","***"
"2009100000","2009年度","04000","宮城県","","2,329,344","1,132,240","1,197,104","2,345,844","***","***"
"2009100000","2009年度","05000","秋田県","","1,108,237","523,940","584,297","1,112,574","***","***"
"2009100000","2009年度","06000","山形県","","1,176,759","566,781","609,978","1,183,722","***","***"
"2009100000","2009年度","07000","福島県","","2,051,626","998,942","1,052,684","2,063,779","***","***"
"2009100000","2009年度","08000","茨城県","","2,979,139","1,489,569","1,489,570","3,035,501","***","***"
"2009100000","2009年度","09000","栃木県","","2,000,774","996,502","1,004,272","2,034,990","***","***"
"2009100000","2009年度","10000","群馬県","","2,004,786","990,601","1,014,185","2,049,692","***","***"
"2009100000","2009年度","11000","埼玉県","","7,123,084","3,588,368","3,534,716","7,246,684","***","***"
"2009100000","2009年度","12000","千葉県","","6,149,799","3,084,888","3,064,911","6,265,590","***","***"
"2009100000","2009年度","13000","東京都","","12,609,912","6,255,821","6,354,091","13,025,010","***","***"
"2009100000","2009年度","14000","神奈川県","","8,885,458","4,476,728","4,408,730","9,058,497","***","***"
"2009100000","2009年度","15000","新潟県","","2,391,091","1,160,033","1,231,058","2,405,502","***","***"
"2009100000","2009年度","16000","富山県","","1,097,736","529,963","567,773","1,112,225","***","***"
"2009100000","2009年度","17000","石川県","","1,162,950","560,522","602,428","1,174,551","***","***"
"2009100000","2009年度","18000","福井県","","809,465","392,782","416,683","822,346","***","***"
"2009100000","2009年度","19000","山梨県","","864,210","424,339","439,871","880,768","***","***"
"2009100000","2009年度","20000","長野県","","2,161,572","1,055,513","1,106,059","2,199,851","***","***"
"2009100000","2009年度","21000","岐阜県","","2,083,118","1,014,995","1,068,123","2,135,359","***","***"
"2009100000","2009年度","22000","静岡県","","3,769,685","1,862,426","1,907,259","3,863,184","***","***"
"2009100000","2009年度","23000","愛知県","","7,237,612","3,632,381","3,605,231","7,452,428","***","***"
"2009100000","2009年度","24000","三重県","","1,849,703","902,510","947,193","1,898,790","***","***"
"2009100000","2009年度","25000","滋賀県","","1,386,570","683,318","703,252","1,415,164","***","***"
"2009100000","2009年度","26000","京都府","","2,551,706","1,227,484","1,324,222","2,604,704","***","***"
"2009100000","2009年度","27000","大阪府","","8,683,035","4,221,854","4,461,181","8,892,970","***","***"
"2009100000","2009年度","28000","兵庫県","","5,586,182","2,688,838","2,897,344","5,688,241","***","***"
"2009100000","2009年度","29000","奈良県","","1,411,715","674,564","737,151","1,423,118","***","***"
"2009100000","2009年度","30000","和歌山県","","1,032,779","489,718","543,061","1,039,040","***","***"
"2009100000","2009年度","31000","鳥取県","","595,331","284,641","310,690","599,653","***","***"
"2009100000","2009年度","32000","島根県","","723,182","345,066","378,116","729,004","***","***"
"2009100000","2009年度","33000","岡山県","","1,939,449","935,420","1,004,029","1,962,594","***","***"
"2009100000","2009年度","34000","広島県","","2,856,308","1,382,471","1,473,837","2,897,660","***","***"
"2009100000","2009年度","35000","山口県","","1,464,275","692,736","771,539","1,479,059","***","***"
"2009100000","2009年度","36000","徳島県","","796,897","379,192","417,705","802,306","***","***"
"2009100000","2009年度","37000","香川県","","1,012,755","487,577","525,178","1,021,527","***","***"
"2009100000","2009年度","38000","愛媛県","","1,457,950","689,999","767,951","1,467,648","***","***"
"2009100000","2009年度","39000","高知県","","772,401","363,212","409,189","776,006","***","***"
"2009100000","2009年度","40000","福岡県","","5,038,574","2,391,310","2,647,264","5,090,746","***","***"
"2009100000","2009年度","41000","佐賀県","","859,400","407,174","452,226","863,736","***","***"
"2009100000","2009年度","42000","長崎県","","1,450,027","680,387","769,640","1,458,193","***","***"
"2009100000","2009年度","43000","熊本県","","1,833,757","865,885","967,872","1,843,014","***","***"
"2009100000","2009年度","44000","大分県","","1,206,976","571,782","635,194","1,218,038","***","***"
"2009100000","2009年度","45000","宮崎県","","1,152,514","544,397","608,117","1,156,711","***","***"
"2009100000","2009年度","46000","鹿児島県","","1,722,405","808,913","913,492","1,728,302","***","***"
"2009100000","2009年度","47000","沖縄県","","1,406,176","692,385","713,791","1,415,214","***","***"
"2008100000","2008年度","01000","北海道","","5,543,556","2,631,725","2,911,831","5,564,874","***","***"
"2008100000","2008年度","02000","青森県","","1,417,278","673,523","743,755","1,422,113","***","***"
"2008100000","2008年度","03000","岩手県","","1,355,205","651,160","704,045","1,361,798","***","***"
"2008100000","2008年度","04000","宮城県","","2,330,898","1,132,994","1,197,904","2,346,989","***","***"
"2008100000","2008年度","05000","秋田県","","1,118,735","529,279","589,456","1,123,140","***","***"
"2008100000","2008年度","06000","山形県","","1,185,100","570,832","614,268","1,192,357","***","***"
"2008100000","2008年度","07000","福島県","","2,063,769","1,005,142","1,058,627","2,076,632","***","***"
"2008100000","2008年度","08000","茨城県","","2,979,639","1,489,299","1,490,340","3,035,916","***","***"
"2008100000","2008年度","09000","栃木県","","2,003,954","998,197","1,005,757","2,039,163","***","***"
"2008100000","2008年度","10000","群馬県","","2,008,842","992,378","1,016,464","2,056,827","***","***"
"2008100000","2008年度","11000","埼玉県","","7,096,269","3,576,123","3,520,146","7,217,784","***","***"
"2008100000","2008年度","12000","千葉県","","6,124,453","3,073,000","3,051,453","6,235,681","***","***"
"2008100000","2008年度","13000","東京都","","12,548,258","6,230,681","6,317,577","12,950,690","***","***"
"2008100000","2008年度","14000","神奈川県","","8,848,329","4,462,962","4,385,367","9,020,218","***","***"
"2008100000","2008年度","15000","新潟県","","2,401,803","1,165,103","1,236,700","2,416,465","***","***"
"2008100000","2008年度","16000","富山県","","1,101,637","531,887","569,750","1,117,381","***","***"
"2008100000","2008年度","17000","石川県","","1,165,013","561,519","603,494","1,177,184","***","***"
"2008100000","2008年度","18000","福井県","","812,444","394,276","418,168","826,126","***","***"
"2008100000","2008年度","19000","山梨県","","867,122","425,777","441,345","884,403","***","***"
"2008100000","2008年度","20000","長野県","","2,168,926","1,059,179","1,109,747","2,211,775","***","***"
"2008100000","2008年度","21000","岐阜県","","2,089,413","1,018,127","1,071,286","2,146,983","***","***"
"2008100000","2008年度","22000","静岡県","","3,773,694","1,864,242","1,909,452","3,876,973","***","***"
"2008100000","2008年度","23000","愛知県","","7,218,350","3,623,538","3,594,812","7,446,782","***","***"
"2008100000","2008年度","24000","三重県","","1,854,050","904,910","949,140","1,907,123","***","***"
"2008100000","2008年度","25000","滋賀県","","1,382,321","681,484","700,837","1,414,613","***","***"
"2008100000","2008年度","26000","京都府","","2,555,650","1,229,651","1,325,999","2,608,813","***","***"
"2008100000","2008年度","27000","大阪府","","8,676,622","4,219,995","4,456,627","8,888,404","***","***"
"2008100000","2008年度","28000","兵庫県","","5,586,254","2,689,793","2,896,461","5,688,776","***","***"
"2008100000","2008年度","29000","奈良県","","1,414,970","676,434","738,536","1,426,558","***","***"
"2008100000","2008年度","30000","和歌山県","","1,038,729","492,683","546,046","1,045,167","***","***"
"2008100000","2008年度","31000","鳥取県","","598,485","286,230","312,255","603,025","***","***"
"2008100000","2008年度","32000","島根県","","727,793","347,189","380,604","733,431","***","***"
"2008100000","2008年度","33000","岡山県","","1,943,864","937,658","1,006,206","1,967,242","***","***"
"2008100000","2008年度","34000","広島県","","2,859,300","1,383,862","1,475,438","2,901,526","***","***"
"2008100000","2008年度","35000","山口県","","1,471,715","696,373","775,342","1,486,711","***","***"
"2008100000","2008年度","36000","徳島県","","800,825","382,551","418,274","806,346","***","***"
"2008100000","2008年度","37000","香川県","","1,016,540","489,640","526,900","1,025,326","***","***"
"2008100000","2008年度","38000","愛媛県","","1,464,307","693,151","771,156","1,474,035","***","***"
"2008100000","2008年度","39000","高知県","","777,080","365,141","411,939","780,658","***","***"
"2008100000","2008年度","40000","福岡県","","5,031,870","2,387,702","2,644,168","5,082,833","***","***"
"2008100000","2008年度","41000","佐賀県","","862,156","408,430","453,726","866,471","***","***"
"2008100000","2008年度","42000","長崎県","","1,458,404","684,219","774,185","1,466,434","***","***"
"2008100000","2008年度","43000","熊本県","","1,839,309","868,797","970,512","1,848,576","***","***"
"2008100000","2008年度","44000","大分県","","1,211,042","573,799","637,243","1,222,076","***","***"
"2008100000","2008年度","45000","宮崎県","","1,155,844","545,852","609,992","1,160,006","***","***"
"2008100000","2008年度","46000","鹿児島県","","1,728,554","811,139","917,415","1,734,267","***","***"
"2008100000","2008年度","47000","沖縄県","","1,397,812","687,889","709,923","1,406,938","***","***"
"2007100000","2007年度","01000","北海道","","5,571,770","2,648,735","2,923,035","***","***","***"
"2007100000","2007年度","02000","青森県","","1,430,543","680,654","749,889","***","***","***"
"2007100000","2007年度","03000","岩手県","","1,366,652","657,304","709,348","***","***","***"
"2007100000","2007年度","04000","宮城県","","2,334,874","1,135,696","1,199,178","***","***","***"
"2007100000","2007年度","05000","秋田県","","1,130,823","535,577","595,246","***","***","***"
"2007100000","2007年度","06000","山形県","","1,194,071","575,514","618,557","***","***","***"
"2007100000","2007年度","07000","福島県","","2,075,555","1,011,125","1,064,430","***","***","***"
"2007100000","2007年度","08000","茨城県","","2,982,000","1,490,148","1,491,852","***","***","***"
"2007100000","2007年度","09000","栃木県","","2,006,701","999,536","1,007,165","***","***","***"
"2007100000","2007年度","10000","群馬県","","2,012,151","994,315","1,017,836","***","***","***"
"2007100000","2007年度","11000","埼玉県","","7,067,336","3,563,014","3,504,322","***","***","***"
"2007100000","2007年度","12000","千葉県","","6,090,799","3,056,110","3,034,689","***","***","***"
"2007100000","2007年度","13000","東京都","","12,462,196","6,189,004","6,273,192","***","***","***"
"2007100000","2007年度","14000","神奈川県","","8,798,289","4,441,495","4,356,794","***","***","***"
"2007100000","2007年度","15000","新潟県","","2,413,103","1,170,645","1,242,458","***","***","***"
"2007100000","2007年度","16000","富山県","","1,106,340","534,180","572,160","***","***","***"
"2007100000","2007年度","17000","石川県","","1,167,151","562,527","604,624","***","***","***"
"2007100000","2007年度","18000","福井県","","815,344","395,584","419,760","***","***","***"
"2007100000","2007年度","19000","山梨県","","871,481","428,199","443,282","***","***","***"
"2007100000","2007年度","20000","長野県","","2,176,806","1,063,273","1,113,533","***","***","***"
"2007100000","2007年度","21000","岐阜県","","2,095,484","1,021,355","1,074,129","***","***","***"
"2007100000","2007年度","22000","静岡県","","3,775,400","1,864,834","1,910,566","***","***","***"
"2007100000","2007年度","23000","愛知県","","7,185,744","3,606,324","3,579,420","***","***","***"
"2007100000","2007年度","24000","三重県","","1,856,282","905,823","950,459","***","***","***"
"2007100000","2007年度","25000","滋賀県","","1,377,886","679,613","698,273","***","***","***"
"2007100000","2007年度","26000","京都府","","2,558,542","1,231,740","1,326,802","***","***","***"
"2007100000","2007年度","27000","大阪府","","8,670,302","4,219,619","4,450,683","***","***","***"
"2007100000","2007年度","28000","兵庫県","","5,582,230","2,688,918","2,893,312","***","***","***"
"2007100000","2007年度","29000","奈良県","","1,419,626","679,530","740,096","***","***","***"
"2007100000","2007年度","30000","和歌山県","","1,045,973","496,361","549,612","***","***","***"
"2007100000","2007年度","31000","鳥取県","","602,411","288,127","314,284","***","***","***"
"2007100000","2007年度","32000","島根県","","733,123","349,588","383,535","***","***","***"
"2007100000","2007年度","33000","岡山県","","1,948,250","939,835","1,008,415","***","***","***"
"2007100000","2007年度","34000","広島県","","2,864,167","1,386,655","1,477,512","***","***","***"
"2007100000","2007年度","35000","山口県","","1,479,840","700,205","779,635","***","***","***"
"2007100000","2007年度","36000","徳島県","","805,951","384,948","421,003","***","***","***"
"2007100000","2007年度","37000","香川県","","1,019,333","491,071","528,262","***","***","***"
"2007100000","2007年度","38000","愛媛県","","1,471,510","696,678","774,832","***","***","***"
"2007100000","2007年度","39000","高知県","","784,038","368,799","415,239","***","***","***"
"2007100000","2007年度","40000","福岡県","","5,030,818","2,388,578","2,642,240","***","***","***"
"2007100000","2007年度","41000","佐賀県","","864,738","409,857","454,881","***","***","***"
"2007100000","2007年度","42000","長崎県","","1,469,197","689,356","779,841","***","***","***"
"2007100000","2007年度","43000","熊本県","","1,844,644","871,415","973,229","***","***","***"
"2007100000","2007年度","44000","大分県","","1,215,388","575,691","639,697","***","***","***"
"2007100000","2007年度","45000","宮崎県","","1,161,026","548,674","612,352","***","***","***"
"2007100000","2007年度","46000","鹿児島県","","1,739,075","816,260","922,815","***","***","***"
"2007100000","2007年度","47000","沖縄県","","1,391,215","684,806","706,409","***","***","***"
"2006100000","2006年度","01000","北海道","","5,600,705","2,667,157","2,933,548","***","***","***"
"2006100000","2006年度","02000","青森県","","1,445,592","688,786","756,806","***","***","***"
"2006100000","2006年度","03000","岩手県","","1,377,666","663,141","714,525","***","***","***"
"2006100000","2006年度","04000","宮城県","","2,340,485","1,139,577","1,200,908","***","***","***"
"2006100000","2006年度","05000","秋田県","","1,143,829","542,444","601,385","***","***","***"
"2006100000","2006年度","06000","山形県","","1,204,099","580,612","623,487","***","***","***"
"2006100000","2006年度","07000","福島県","","2,089,439","1,018,443","1,070,996","***","***","***"
"2006100000","2006年度","08000","茨城県","","2,986,115","1,492,374","1,493,741","***","***","***"
"2006100000","2006年度","09000","栃木県","","2,006,363","998,539","1,007,824","***","***","***"
"2006100000","2006年度","10000","群馬県","","2,016,236","996,396","1,019,840","***","***","***"
"2006100000","2006年度","11000","埼玉県","","7,042,044","3,551,162","3,490,882","***","***","***"
"2006100000","2006年度","12000","千葉県","","6,058,248","3,040,351","3,017,897","***","***","***"
"2006100000","2006年度","13000","東京都","","12,361,736","6,140,844","6,220,892","***","***","***"
"2006100000","2006年度","14000","神奈川県","","8,741,025","4,414,659","4,326,366","***","***","***"
"2006100000","2006年度","15000","新潟県","","2,425,683","1,176,946","1,248,737","***","***","***"
"2006100000","2006年度","16000","富山県","","1,110,713","536,357","574,356","***","***","***"
"2006100000","2006年度","17000","石川県","","1,169,249","563,751","605,498","***","***","***"
"2006100000","2006年度","18000","福井県","","818,443","397,094","421,349","***","***","***"
"2006100000","2006年度","19000","山梨県","","875,621","430,551","445,070","***","***","***"
"2006100000","2006年度","20000","長野県","","2,184,596","1,067,363","1,117,233","***","***","***"
"2006100000","2006年度","21000","岐阜県","","2,100,413","1,023,525","1,076,888","***","***","***"
"2006100000","2006年度","22000","静岡県","","3,775,367","1,864,019","1,911,348","***","***","***"
"2006100000","2006年度","23000","愛知県","","7,145,614","3,583,458","3,562,156","***","***","***"
"2006100000","2006年度","24000","三重県","","1,857,090","905,510","951,580","***","***","***"
"2006100000","2006年度","25000","滋賀県","","1,371,577","676,235","695,342","***","***","***"
"2006100000","2006年度","26000","京都府","","2,562,282","1,234,403","1,327,879","***","***","***"
"2006100000","2006年度","27000","大阪府","","8,665,105","4,221,515","4,443,590","***","***","***"
"2006100000","2006年度","28000","兵庫県","","5,580,497","2,689,479","2,891,018","***","***","***"
"2006100000","2006年度","29000","奈良県","","1,425,308","682,922","742,386","***","***","***"
"2006100000","2006年度","30000","和歌山県","","1,053,896","500,659","553,237","***","***","***"
"2006100000","2006年度","31000","鳥取県","","606,695","290,439","316,256","***","***","***"
"2006100000","2006年度","32000","島根県","","739,080","352,535","386,545","***","***","***"
"2006100000","2006年度","33000","岡山県","","1,951,420","941,360","1,010,060","***","***","***"
"2006100000","2006年度","34000","広島県","","2,867,423","1,388,148","1,479,275","***","***","***"
"2006100000","2006年度","35000","山口県","","1,489,176","704,620","784,556","***","***","***"
"2006100000","2006年度","36000","徳島県","","811,678","388,013","423,665","***","***","***"
"2006100000","2006年度","37000","香川県","","1,023,074","492,829","530,245","***","***","***"
"2006100000","2006年度","38000","愛媛県","","1,479,775","701,138","778,637","***","***","***"
"2006100000","2006年度","39000","高知県","","792,419","373,248","419,171","***","***","***"
"2006100000","2006年度","40000","福岡県","","5,030,311","2,390,173","2,640,138","***","***","***"
"2006100000","2006年度","41000","佐賀県","","868,562","411,962","456,600","***","***","***"
"2006100000","2006年度","42000","長崎県","","1,482,146","696,224","785,922","***","***","***"
"2006100000","2006年度","43000","熊本県","","1,852,073","875,155","976,918","***","***","***"
"2006100000","2006年度","44000","大分県","","1,218,066","576,586","641,480","***","***","***"
"2006100000","2006年度","45000","宮崎県","","1,167,509","552,278","615,231","***","***","***"
"2006100000","2006年度","46000","鹿児島県","","1,751,510","822,798","928,712","***","***","***"
"2006100000","2006年度","47000","沖縄県","","1,387,518","683,782","703,736","***","***","***"
"2005100000","2005年度","01000","北海道","","5,629,970","2,685,621","2,944,349","5,649,393","***","***"
"2005100000","2005年度","02000","青森県","","1,460,144","697,087","763,057","1,465,176","***","***"
"2005100000","2005年度","03000","岩手県","","1,388,164","669,048","719,116","1,394,517","***","***"
"2005100000","2005年度","04000","宮城県","","2,344,569","1,142,742","1,201,827","2,361,313","***","***"
"2005100000","2005年度","05000","秋田県","","1,156,356","549,091","607,265","1,161,018","***","***"
"2005100000","2005年度","06000","山形県","","1,212,163","584,990","627,173","1,219,762","***","***"
"2005100000","2005年度","07000","福島県","","2,100,851","1,024,439","1,076,412","2,113,465","***","***"
"2005100000","2005年度","08000","茨城県","","2,988,533","1,493,593","1,494,940","3,042,281","***","***"
"2005100000","2005年度","09000","栃木県","","2,009,498","1,000,048","1,009,450","2,042,656","***","***"
"2005100000","2005年度","10000","群馬県","","2,020,037","998,401","1,021,636","2,066,606","***","***"
"2005100000","2005年度","11000","埼玉県","","7,019,919","3,541,321","3,478,598","7,128,588","***","***"
"2005100000","2005年度","12000","千葉県","","6,035,658","3,030,365","3,005,293","6,137,269","***","***"
"2005100000","2005年度","13000","東京都","","12,273,376","6,098,401","6,174,975","12,638,340","***","***"
"2005100000","2005年度","14000","神奈川県","","8,693,373","4,394,049","4,299,324","8,851,970","***","***"
"2005100000","2005年度","15000","新潟県","","2,438,482","1,183,816","1,254,666","2,453,022","***","***"
"2005100000","2005年度","16000","富山県","","1,114,714","538,254","576,460","1,129,211","***","***"
"2005100000","2005年度","17000","石川県","","1,171,106","564,777","606,329","1,181,088","***","***"
"2005100000","2005年度","18000","福井県","","821,073","398,306","422,767","835,229","***","***"
"2005100000","2005年度","19000","山梨県","","879,239","432,474","446,765","896,454","***","***"
"2005100000","2005年度","20000","長野県","","2,190,874","1,070,432","1,120,442","2,234,880","***","***"
"2005100000","2005年度","21000","岐阜県","","2,105,011","1,025,807","1,079,204","2,156,940","***","***"
"2005100000","2005年度","22000","静岡県","","3,775,903","1,863,993","1,911,910","3,872,042","***","***"
"2005100000","2005年度","23000","愛知県","","7,106,585","3,560,668","3,545,917","7,305,097","***","***"
"2005100000","2005年度","24000","三重県","","1,857,456","904,792","952,664","1,905,373","***","***"
"2005100000","2005年度","25000","滋賀県","","1,365,393","672,580","692,813","1,395,676","***","***"
"2005100000","2005年度","26000","京都府","","2,566,420","1,237,313","1,329,107","2,621,228","***","***"
"2005100000","2005年度","27000","大阪府","","8,663,719","4,226,519","4,437,200","8,877,922","***","***"
"2005100000","2005年度","28000","兵庫県","","5,576,784","2,689,148","2,887,636","5,679,086","***","***"
"2005100000","2005年度","29000","奈良県","","1,430,366","686,240","744,126","1,441,764","***","***"
"2005100000","2005年度","30000","和歌山県","","1,061,559","504,878","556,681","1,068,318","***","***"
"2005100000","2005年度","31000","鳥取県","","610,434","292,361","318,073","615,350","***","***"
"2005100000","2005年度","32000","島根県","","744,677","355,392","389,285","750,576","***","***"
"2005100000","2005年度","33000","岡山県","","1,954,919","942,876","1,012,043","1,975,333","***","***"
"2005100000","2005年度","34000","広島県","","2,870,907","1,389,895","1,481,012","2,908,172","***","***"
"2005100000","2005年度","35000","山口県","","1,499,002","709,842","789,160","1,513,995","***","***"
"2005100000","2005年度","36000","徳島県","","816,321","390,364","425,957","822,338","***","***"
"2005100000","2005年度","37000","香川県","","1,026,088","494,399","531,689","1,034,465","***","***"
"2005100000","2005年度","38000","愛媛県","","1,486,946","705,084","781,862","1,496,286","***","***"
"2005100000","2005年度","39000","高知県","","799,121","376,792","422,329","802,791","***","***"
"2005100000","2005年度","40000","福岡県","","5,028,026","2,390,818","2,637,208","5,073,589","***","***"
"2005100000","2005年度","41000","佐賀県","","872,302","413,819","458,483","876,484","***","***"
"2005100000","2005年度","42000","長崎県","","1,494,879","703,152","791,727","1,502,014","***","***"
"2005100000","2005年度","43000","熊本県","","1,858,522","878,889","979,633","1,867,062","***","***"
"2005100000","2005年度","44000","大分県","","1,221,714","578,569","643,145","1,230,472","***","***"
"2005100000","2005年度","45000","宮崎県","","1,172,402","554,890","617,512","1,176,605","***","***"
"2005100000","2005年度","46000","鹿児島県","","1,759,650","827,244","932,406","1,765,368","***","***"
"2005100000","2005年度","47000","沖縄県","","1,381,820","681,652","700,168","1,390,263","***","***"
"2004100000","2004年度","01000","北海道","","5,632,133","2,688,938","2,943,195","***","***","***"
"2004100000","2004年度","02000","青森県","","1,468,608","701,710","766,898","***","***","***"
"2004100000","2004年度","03000","岩手県","","1,396,637","673,774","722,863","***","***","***"
"2004100000","2004年度","04000","宮城県","","2,347,970","1,145,558","1,202,412","***","***","***"
"2004100000","2004年度","05000","秋田県","","1,164,389","553,269","611,120","***","***","***"
"2004100000","2004年度","06000","山形県","","1,218,875","588,539","630,336","***","***","***"
"2004100000","2004年度","07000","福島県","","2,107,800","1,028,079","1,079,721","***","***","***"
"2004100000","2004年度","08000","茨城県","","2,988,729","1,493,694","1,495,035","***","***","***"
"2004100000","2004年度","09000","栃木県","","2,008,036","999,068","1,008,968","***","***","***"
"2004100000","2004年度","10000","群馬県","","2,020,734","998,641","1,022,093","***","***","***"
"2004100000","2004年度","11000","埼玉県","","6,996,528","3,531,323","3,465,205","***","***","***"
"2004100000","2004年度","12000","千葉県","","6,014,584","3,021,369","2,993,215","***","***","***"
"2004100000","2004年度","13000","東京都","","12,168,247","6,047,471","6,120,776","***","***","***"
"2004100000","2004年度","14000","神奈川県","","8,644,031","4,372,897","4,271,134","***","***","***"
"2004100000","2004年度","15000","新潟県","","2,445,807","1,187,449","1,258,358","***","***","***"
"2004100000","2004年度","16000","富山県","","1,116,387","538,757","577,630","***","***","***"
"2004100000","2004年度","17000","石川県","","1,172,133","565,267","606,866","***","***","***"
"2004100000","2004年度","18000","福井県","","822,405","398,946","423,459","***","***","***"
"2004100000","2004年度","19000","山梨県","","880,947","433,064","447,883","***","***","***"
"2004100000","2004年度","20000","長野県","","2,193,419","1,071,790","1,121,629","***","***","***"
"2004100000","2004年度","21000","岐阜県","","2,106,293","1,026,636","1,079,657","***","***","***"
"2004100000","2004年度","22000","静岡県","","3,773,826","1,862,300","1,911,526","***","***","***"
"2004100000","2004年度","23000","愛知県","","7,062,762","3,535,146","3,527,616","***","***","***"
"2004100000","2004年度","24000","三重県","","1,858,026","904,443","953,583","***","***","***"
"2004100000","2004年度","25000","滋賀県","","1,359,273","669,133","690,140","***","***","***"
"2004100000","2004年度","26000","京都府","","2,565,170","1,236,917","1,328,253","***","***","***"
