Date,Open,High,Low,Close,Volume
2010-01-04,373.07,374.71,367.37,367.37,56608822
2010-01-05,370.63,376.33,366.56,368.19,200926589
2010-01-06,374.71,384.48,372.26,384.48,284056916
2010-01-07,389.38,395.06,386.1,387.73,204176283
2010-01-08,390.99,392.62,385.3,389.38,158344447
2010-01-12,387.73,398.31,386.1,397.5,187897245
2010-01-13,393.44,401.58,388.55,390.16,170432677
2010-01-14,394.23,400.78,393.44,398.31,138978626
2010-01-15,403.2,412.18,399.13,412.18,235484123
2010-01-18,408.11,411.35,404.04,405.64,194350473
2010-01-19,404.84,405.64,394.23,395.88,122734332
2010-01-20,400.78,401.58,389.38,392.62,141568091
2010-01-21,388.55,404.04,386.1,400.78,170181256
2010-01-22,394.23,403.2,392.62,401.58,198065077
2010-01-25,395.88,401.58,393.44,396.7,110022704
2010-01-26,399.13,400.78,382.84,384.48,155526882
2010-01-27,386.92,389.38,382.84,385.3,92946437
2010-01-28,387.73,391.81,384.48,386.92,108214385
2010-01-29,383.67,386.1,381.23,381.23,93863364
2010-02-01,386.92,389.38,378.77,385.3,106716662
2010-02-02,389.38,390.99,386.92,389.38,61638476
2010-02-03,391.81,392.62,386.92,386.92,51034219
2010-02-04,388.55,389.38,371.45,377.14,142684634
2010-02-05,369.0,373.88,363.31,372.26,91026036
2010-02-08,370.63,377.96,369.0,370.63,79683351
2010-02-09,369.81,374.71,367.37,371.45,84437643
2010-02-10,373.07,375.52,369.0,369.0,77144586
2010-02-12,371.45,373.07,368.19,369.81,86338158
2010-02-15,369.0,369.81,361.66,362.49,80811187
2010-02-16,363.31,365.75,360.86,361.66,82846005
2010-02-17,365.75,368.19,364.12,367.37,57187532
2010-02-18,373.88,377.14,370.63,371.45,88324484
2010-02-19,372.26,373.07,365.75,366.56,66950362
2010-02-22,371.45,374.71,369.81,371.45,71770210
2010-02-23,372.26,373.88,369.0,372.26,42448942
2010-02-24,368.19,369.0,364.93,366.56,70170715
2010-02-25,367.37,367.37,364.93,367.37,51588501
2010-02-26,364.93,367.37,363.31,365.75,67440806
2010-03-01,369.81,374.71,369.0,371.45,91136522
2010-03-02,371.45,373.07,369.0,370.63,51089217
2010-03-03,371.45,372.26,369.0,371.45,56513434
2010-03-04,370.63,371.45,369.0,369.81,38186078
2010-03-05,371.45,375.52,370.63,373.07,88029114
2010-03-08,379.59,380.41,375.52,376.33,80382005
2010-03-09,377.96,378.77,375.52,375.52,53083646
2010-03-10,373.88,375.52,372.26,372.26,39983223
2010-03-11,376.33,377.96,373.88,375.52,48861658
2010-03-12,377.14,381.23,375.52,380.41,83945236
2010-03-15,382.03,386.92,381.23,382.84,91344485
2010-03-16,382.84,388.55,382.03,386.1,62022113
2010-03-17,389.38,390.99,386.92,387.73,82677941
2010-03-18,389.38,390.16,384.48,385.3,44385795
2010-03-19,386.1,386.92,381.23,386.92,52315878
2010-03-23,386.1,386.92,384.48,385.3,37067939
2010-03-24,386.1,387.73,382.03,383.67,55706506
2010-03-25,386.92,386.92,382.84,383.67,59187118
2010-03-26,386.1,390.99,384.48,390.99,80853540
2010-03-29,388.55,403.2,387.73,401.58,126145337
2010-03-30,407.29,410.54,404.04,404.84,97833071
2010-03-31,403.2,404.04,398.31,399.13,83420050
2010-04-01,399.96,401.58,393.44,394.23,96979858
2010-04-02,399.13,400.78,395.06,397.5,90554253
2010-04-05,399.13,400.78,395.06,397.5,48946244
2010-04-06,397.5,399.96,391.81,397.5,57691114
2010-04-07,400.78,411.35,399.96,410.54,217176776
2010-04-08,408.92,415.43,408.11,410.54,124632883
2010-04-09,412.99,414.62,408.11,410.54,84187696
2010-04-12,412.99,421.13,411.35,413.8,144140617
2010-04-13,417.07,418.69,410.54,413.8,115104039
2010-04-14,415.43,420.32,413.8,414.62,125787479
2010-04-15,421.96,423.55,414.62,421.13,96548834
2010-04-16,419.51,421.96,417.07,418.69,87580533
2010-04-19,408.92,410.54,404.04,405.64,117122776
2010-04-20,407.29,411.35,405.64,406.46,102114351
2010-04-21,412.99,418.69,412.99,418.69,119796952
2010-04-22,417.07,417.87,411.35,413.8,77528471
2010-04-23,408.92,412.99,407.29,408.11,67732738
2010-04-26,414.62,417.87,412.99,415.43,68310591
2010-04-27,414.62,415.43,412.18,414.62,45724049
2010-04-28,406.46,409.74,404.04,406.46,80278389
2010-04-30,412.18,413.8,400.78,402.38,93300614
2010-05-06,390.16,390.16,382.84,384.48,151592411
2010-05-07,369.81,390.99,369.0,374.71,145287359
2010-05-10,377.14,384.48,373.88,381.23,128341591
2010-05-11,387.73,390.99,372.26,374.71,163513313
2010-05-12,370.63,374.71,361.66,365.75,182638640
2010-05-13,370.63,381.23,369.81,376.33,109335960
2010-05-14,374.71,377.14,367.37,373.88,131551753
2010-05-17,369.0,370.63,365.75,369.0,116577582
2010-05-18,370.63,372.26,364.93,365.75,121351882
2010-05-19,361.66,368.19,358.41,368.19,140143905
2010-05-20,367.37,369.81,364.12,365.75,85115180
2010-05-21,372.26,372.26,356.77,361.66,138445093
2010-05-24,362.49,366.56,359.22,360.86,121234645
2010-05-25,360.05,361.66,354.33,355.97,117111238
2010-05-26,357.59,359.22,354.33,358.41,88349037
2010-05-27,355.15,364.12,354.33,362.49,91592836
2010-05-28,367.37,368.19,360.86,361.66,84800413
2010-05-31,361.66,364.93,359.22,359.22,52128417
2010-06-01,359.22,364.93,358.41,363.31,59541291
2010-06-02,357.59,364.93,356.77,358.41,86783179
2010-06-03,362.49,365.75,361.66,363.31,63211086
2010-06-04,362.49,364.12,361.66,362.49,47657956
2010-06-07,355.15,356.77,347.82,348.64,100074255
2010-06-08,344.57,345.38,338.85,341.29,118659785
2010-06-09,338.85,342.94,333.96,335.6,119569345
2010-06-10,338.04,339.68,335.6,338.85,50107470
2010-06-11,340.5,351.88,340.5,349.45,132059139
2010-06-14,350.27,351.08,347.82,349.45,55874813
2010-06-15,350.27,351.88,347.82,348.64,51545163
2010-06-16,352.7,353.51,349.45,351.08,50111156
2010-06-17,347.0,349.45,344.57,347.0,52387819
2010-06-18,346.19,347.0,338.85,342.13,63608964
2010-06-21,346.19,351.88,344.57,348.64,64895534
2010-06-22,348.64,355.15,347.0,351.08,75912277
2010-06-23,347.0,351.88,344.57,348.64,46862566
2010-06-24,348.64,350.27,342.13,342.94,90243047
2010-06-25,340.5,347.0,338.04,338.04,87491405
2010-06-28,339.68,340.5,332.35,334.8,82082533
2010-06-29,333.16,337.24,329.91,331.52,74386564
2010-06-30,326.63,329.91,325.03,329.91,91162058
2010-07-01,327.46,329.09,325.03,326.63,66968530
2010-07-02,326.63,329.09,324.2,327.46,62227623
2010-07-05,330.72,334.8,328.28,330.72,73158306
2010-07-06,328.28,340.5,325.83,340.5,84156269
2010-07-07,340.5,344.57,334.8,337.24,88553195
2010-07-08,345.38,350.27,345.38,348.64,101210314
2010-07-09,350.27,350.27,343.74,347.0,55528373
2010-07-12,343.74,346.19,337.24,339.68,107862176
2010-07-13,339.68,342.94,335.6,342.13,82821083
2010-07-14,348.64,350.27,342.94,344.57,106366659
2010-07-15,342.13,344.57,333.96,335.6,71309723
2010-07-16,334.8,337.24,329.09,331.52,77531785
2010-07-20,327.46,331.52,325.83,326.63,76681029
2010-07-21,326.63,328.28,322.58,325.83,74276692
2010-07-22,325.03,327.46,323.37,325.83,58847184
2010-07-23,329.09,333.16,328.28,331.52,66632894
2010-07-26,334.8,336.42,332.35,332.35,39981013
2010-07-27,334.8,344.57,333.96,340.5,90621405
2010-07-28,348.64,357.59,348.64,352.7,138867645
2010-07-29,355.97,358.41,351.08,352.7,87114766
2010-07-30,352.7,352.7,343.74,349.45,79275038
2010-08-02,351.88,353.51,346.19,347.82,58652480
2010-08-03,355.15,357.59,347.82,347.82,83194040
