Date,Open,High,Low,Close,Volume
2010-01-04,1053.39,1059.21,1050.97,1056.3,3485335
2010-01-05,1064.55,1067.48,1055.33,1058.25,6401280
2010-01-06,1058.25,1067.95,1055.33,1059.7,5615382
2010-01-07,1059.7,1079.6,1059.21,1066.01,7096329
2010-01-08,1068.43,1077.67,1045.14,1058.25,14764102
2010-01-12,1053.39,1063.1,1045.63,1061.65,6225560
2010-01-13,1043.68,1071.36,1043.68,1059.21,11954660
2010-01-14,1070.86,1151.45,1067.95,1150.48,50034176
2010-01-15,1152.42,1163.59,1131.06,1150.48,27192770
2010-01-18,1161.16,1175.24,1132.52,1145.13,23548400
2010-01-19,1162.14,1165.05,1138.35,1141.25,12320309
2010-01-20,1152.91,1184.95,1148.54,1181.07,34716963
2010-01-21,1189.32,1206.31,1171.35,1199.99,27258484
2010-01-22,1188.35,1196.1,1177.19,1182.03,18034579
2010-01-25,1164.06,1171.35,1155.81,1155.81,12241824
2010-01-26,1150.48,1164.06,1118.93,1118.93,16103113
2010-01-27,1118.93,1140.28,1116.98,1120.87,12360890
2010-01-28,1138.35,1142.22,1118.93,1138.35,10963793
2010-01-29,1133.49,1133.49,1116.98,1116.98,12950469
2010-02-01,1116.98,1145.62,1109.69,1143.2,14106339
2010-02-02,1161.64,1182.53,1157.76,1175.72,19790120
2010-02-03,1188.35,1189.32,1157.76,1176.2,15935426
2010-02-04,1176.7,1185.91,1161.64,1163.1,11664815
2010-02-05,1121.36,1138.35,1107.75,1118.43,16380594
2010-02-08,1112.62,1115.52,1087.38,1090.77,9859832
2010-02-09,1082.52,1111.64,1082.52,1099.51,9591824
2010-02-10,1109.69,1115.04,1082.52,1084.95,10153799
2010-02-12,1092.21,1103.88,1086.89,1097.56,9341945
2010-02-15,1097.09,1103.4,1093.2,1094.65,4929401
2010-02-16,1103.4,1121.83,1097.09,1107.75,7884899
2010-02-17,1128.64,1141.25,1122.81,1141.25,12264275
2010-02-18,1143.2,1152.91,1141.25,1144.65,8778533
2010-02-19,1146.12,1149.03,1107.28,1107.75,11320586
2010-02-22,1129.6,1149.03,1125.71,1149.03,11567994
2010-02-23,1134.94,1154.85,1134.94,1151.93,7836491
2010-02-24,1138.84,1147.08,1128.15,1134.94,9683907
2010-02-25,1135.44,1139.79,1117.47,1121.36,6853040
2010-02-26,1120.38,1134.46,1118.93,1129.6,6208257
2010-03-01,1117.47,1127.66,1110.68,1118.43,7565391
2010-03-02,1111.64,1124.76,1111.17,1123.77,6362140
2010-03-03,1112.62,1122.33,1111.64,1117.96,6062819
2010-03-04,1128.64,1140.28,1116.98,1119.9,9433001
2010-03-05,1124.26,1133.0,1121.83,1129.12,13308085
2010-03-08,1133.49,1139.79,1121.83,1128.64,12240177
2010-03-09,1126.21,1126.21,1105.83,1105.83,10709380
2010-03-10,1104.85,1107.75,1088.34,1088.34,11989471
2010-03-11,1097.09,1101.94,1089.32,1099.99,11077299
2010-03-12,1116.49,1117.96,1096.11,1106.79,28870444
2010-03-15,1115.52,1116.02,1105.34,1105.83,6178387
2010-03-16,1109.22,1114.07,1099.03,1099.51,5311741
2010-03-17,1098.54,1112.13,1097.56,1108.74,8150227
2010-03-18,1101.94,1105.83,1094.65,1097.09,5030958
2010-03-19,1099.99,1100.49,1080.58,1086.41,9145423
2010-03-23,1067.95,1079.6,1065.05,1074.27,9948619
2010-03-24,1075.25,1078.63,1066.99,1068.93,11276504
2010-03-25,1070.39,1074.75,1046.11,1047.57,12611390
2010-03-26,1060.67,1083.0,1051.46,1082.04,14314606
2010-03-29,1083.0,1122.81,1083.0,1121.83,19016994
2010-03-30,1121.36,1137.38,1119.42,1122.33,12999705
2010-03-31,1131.06,1133.0,1117.96,1117.96,10602054
2010-04-01,1133.0,1140.28,1119.42,1139.32,15676893
2010-04-02,1143.2,1146.59,1134.46,1134.94,9184358
2010-04-05,1133.0,1133.0,1089.8,1090.77,23078308
2010-04-06,1092.21,1107.28,1068.43,1096.6,20521009
2010-04-07,1099.51,1103.4,1087.38,1097.56,14216140
2010-04-08,1088.34,1097.56,1083.49,1084.95,11419261
2010-04-09,1095.62,1114.07,1092.71,1114.07,23830830
2010-04-12,1105.83,1108.74,1091.27,1093.67,11970520
2010-04-13,1087.38,1096.6,1076.19,1087.85,10877065
2010-04-14,1084.46,1088.82,1071.36,1074.75,10878094
2010-04-15,1080.09,1088.34,1076.69,1077.67,8616001
2010-04-16,1070.86,1073.78,1050.47,1051.46,16319614
2010-04-19,1033.5,1065.05,1032.03,1059.7,15782367
2010-04-20,1047.57,1058.73,1029.6,1031.07,16908160
2010-04-21,1047.09,1047.09,1026.21,1035.9,12673399
2010-04-22,1024.26,1026.7,1005.35,1017.48,14242919
2010-04-23,1017.95,1032.52,1010.68,1021.36,14146305
2010-04-26,1037.37,1062.61,1035.44,1062.61,17435731
2010-04-27,1064.06,1087.38,1058.73,1065.52,20610212
2010-04-28,1042.23,1045.63,1028.15,1030.1,22235351
2010-04-30,1043.2,1043.68,1018.93,1024.26,10860999
2010-05-06,995.14,1008.75,990.78,1006.79,17374344
2010-05-07,970.86,1005.35,969.41,1004.85,20588170
2010-05-10,1034.46,1051.46,1030.57,1049.98,21412997
2010-05-11,1074.27,1078.14,1052.42,1058.73,29363200
2010-05-12,1045.14,1082.52,1043.68,1069.9,18230485
2010-05-13,1084.95,1110.19,1082.52,1108.74,22181996
2010-05-14,1088.82,1108.74,1087.38,1094.65,18650519
2010-05-17,1089.32,1101.94,1069.9,1078.14,15885161
2010-05-18,1084.46,1098.05,1073.78,1081.07,13360409
2010-05-19,1067.95,1080.09,1058.73,1074.75,9858802
2010-05-20,1075.25,1083.98,1063.59,1067.95,9954798
2010-05-21,1041.26,1064.06,1038.83,1048.04,14885027
2010-05-24,1048.54,1060.19,1040.29,1046.11,10440140
2010-05-25,1039.79,1042.23,994.18,999.03,12568336
2010-05-26,1019.42,1042.7,1009.23,1042.7,15148502
2010-05-27,1019.42,1046.59,1019.42,1042.7,10983775
2010-05-28,1061.16,1081.54,1053.88,1071.84,16152346
