Date,Open,High,Low,Close,Volume
2010-01-04,1885.82,1894.74,1879.31,1880.14,4852651
2010-01-05,1930.42,1966.12,1923.94,1927.18,14594324
2010-01-06,1946.65,1987.2,1932.86,1969.35,14523925
2010-01-07,1997.75,2006.67,1957.18,1968.54,14382882
2010-01-08,1954.76,1984.77,1942.61,1970.98,12940525
2010-01-12,1993.68,2022.9,1988.01,2009.92,13266871
2010-01-13,1970.98,1993.68,1937.72,1938.53,14638461
2010-01-14,1923.94,2026.13,1922.31,2022.9,16385218
2010-01-15,2027.75,2061.83,2018.01,2047.21,16480520
2010-01-18,2006.67,2020.46,1988.01,1989.64,12000817
2010-01-19,1987.2,1988.82,1948.28,1949.91,10350225
2010-01-20,1964.48,1994.51,1910.15,1920.69,10717378
2010-01-21,1920.69,1961.24,1902.04,1946.65,14445758
2010-01-22,1865.53,1872.02,1846.89,1859.05,23090531
2010-01-25,1818.5,1850.92,1813.61,1838.78,13851262
2010-01-26,1837.14,1866.35,1810.36,1811.2,12443918
2010-01-27,1812.82,1836.34,1782.8,1786.86,12630700
2010-01-28,1797.42,1820.12,1787.67,1787.67,12405453
2010-01-29,1816.86,1818.5,1764.15,1773.88,17208047
2010-02-01,1735.76,1748.73,1707.39,1735.76,14738078
2010-02-02,1800.66,1841.19,1789.28,1824.15,16742137
2010-02-03,1858.25,1863.92,1811.2,1825.0,10231498
2010-02-04,1825.0,1832.29,1747.12,1776.31,11508156
2010-02-05,1691.96,1727.65,1688.71,1717.9,13193515
2010-02-08,1703.32,1732.52,1687.91,1700.89,8829828
2010-02-09,1704.93,1735.76,1696.84,1732.52,11596676
2010-02-10,1760.9,1783.62,1744.67,1747.91,11290551
2010-02-12,1818.5,1820.12,1791.74,1804.69,11406074
2010-02-15,1790.92,1800.66,1772.27,1777.94,7847831
2010-02-16,1778.74,1795.78,1767.39,1788.47,6021924
2010-02-17,1828.24,1854.18,1825.78,1848.5,10940904
2010-02-18,1857.43,1861.48,1816.06,1825.0,7934380
2010-02-19,1837.95,1838.78,1784.42,1794.17,11380056
2010-02-22,1831.48,1856.6,1828.24,1850.92,9060750
2010-02-23,1834.71,1841.19,1818.5,1834.71,7390798
2010-02-24,1799.02,1811.2,1792.54,1800.66,8695689
2010-02-25,1814.44,1820.93,1785.23,1792.54,7532212
2010-02-26,1780.38,1807.14,1774.69,1800.66,7321758
2010-03-01,1802.28,1827.4,1793.36,1816.86,8360590
2010-03-02,1809.59,1823.36,1798.21,1823.36,7779897
2010-03-03,1825.78,1867.97,1820.12,1861.48,14501733
2010-03-04,1858.25,1866.35,1829.84,1830.67,11223974
2010-03-05,1856.6,1865.53,1846.07,1854.98,10856082
2010-03-08,1901.22,1902.85,1887.45,1902.85,13452668
2010-03-09,1898.78,1902.04,1889.07,1898.78,7093921
2010-03-10,1902.85,1908.53,1889.86,1893.93,6683736
2010-03-11,1906.09,1924.75,1893.12,1903.66,9232488
2010-03-12,1922.31,1922.31,1899.61,1906.89,11643775
2010-03-15,1921.52,1923.94,1886.63,1896.34,6918971
2010-03-16,1885.82,1897.99,1873.66,1879.31,6200814
2010-03-17,1897.17,1906.09,1883.38,1903.66,6817384
2010-03-18,1914.2,1919.07,1897.99,1899.61,5842292
2010-03-19,1911.77,1916.63,1899.61,1903.66,5167653
2010-03-23,1902.85,1910.96,1886.63,1889.86,6310420
2010-03-24,1889.86,1902.04,1885.82,1894.74,6419776
2010-03-25,1906.09,1907.71,1891.5,1902.04,6802834
2010-03-26,1904.47,1917.44,1897.17,1915.03,6825768
2010-03-29,1898.78,1922.31,1890.69,1922.31,4712594
2010-03-30,1949.07,1999.38,1949.07,1996.92,17680986
2010-03-31,2005.06,2010.72,1979.9,1987.2,10872971
2010-04-01,2010.72,2020.46,2004.23,2017.22,12803183
2010-04-02,2023.7,2026.95,2009.1,2009.1,8306465
2010-04-05,2019.63,2021.28,2005.06,2018.01,5961513
2010-04-06,2018.84,2019.63,1986.37,1996.92,9743890
2010-04-07,1988.82,2013.15,1980.72,2001.79,7559581
2010-04-08,1983.96,2001.79,1983.96,1988.01,8352205
2010-04-09,1977.49,1993.68,1977.49,1980.72,6690764
2010-04-12,2002.61,2027.75,1996.92,2011.54,12395958
2010-04-13,2013.15,2023.7,1999.38,2010.72,9014393
2010-04-14,2018.84,2024.5,1987.2,1998.56,7916503
2010-04-15,2021.28,2022.9,2001.79,2005.06,8223247
2010-04-16,1996.92,1998.56,1963.69,1970.98,9121651
2010-04-19,1930.42,1942.61,1924.75,1925.55,7180715
2010-04-20,1934.47,1936.1,1887.45,1890.69,8690881
2010-04-21,1929.6,1930.42,1899.61,1902.85,7969270
2010-04-22,1876.9,1883.38,1863.92,1872.83,9061116
2010-04-23,1861.48,1884.2,1853.38,1863.11,10102787
2010-04-26,1850.92,1885.82,1847.7,1873.66,11181072
2010-04-27,1857.43,1867.97,1853.38,1867.15,7242360
2010-04-28,1829.04,1837.14,1825.0,1834.71,10139774
2010-04-30,1865.53,1867.97,1812.0,1820.12,12087982
2010-05-06,1734.96,1737.37,1717.11,1721.98,21497513
2010-05-07,1635.99,1719.54,1627.88,1687.91,28281241
2010-05-10,1687.07,1727.65,1679.82,1726.83,11251345
2010-05-11,1751.99,1754.42,1676.54,1683.03,14616270
2010-05-12,1702.5,1722.78,1693.6,1705.75,9515315
2010-05-13,1735.76,1741.46,1721.16,1737.37,6050650
2010-05-14,1719.54,1747.91,1700.07,1731.7,8819594
2010-05-17,1703.32,1710.62,1652.22,1673.3,9969757
