Date,Open,High,Low,Close,Volume
2018-12-19,1257.12,1257.98,1101.58,1101.58,315963957
2018-12-20,1016.51,1125.64,1010.5,1113.6,123781366
2018-12-21,1099.0,1181.5,1095.58,1130.8,75693009
2018-12-25,1123.06,1134.23,1065.49,1092.14,42960274
2018-12-26,1117.06,1129.93,1106.74,1120.49,14100952
2018-12-27,1160.01,1165.16,1138.52,1163.44,22541040
2018-12-28,1153.99,1173.76,1147.99,1166.89,17929558
2019-01-04,1156.58,1202.12,1149.7,1202.12,37225278
2019-01-07,1232.2,1245.94,1213.28,1219.29,34310239
2019-01-08,1227.9,1242.5,1195.24,1242.5,139329014
2019-01-09,1202.98,1236.49,1190.08,1227.9,56866409
2019-01-10,1211.56,1224.46,1199.53,1224.46,20238266
2019-01-11,1228.74,1237.36,1222.74,1231.33,25239382
2019-01-15,1233.06,1236.49,1212.43,1215.0,23498367
2019-01-16,1213.28,1224.46,1205.55,1224.46,28074004
2019-01-17,1222.74,1232.2,1221.89,1230.47,15993376
2019-01-18,1227.9,1231.33,1223.6,1227.9,17879399
2019-01-21,1229.62,1235.62,1227.9,1233.06,16580968
2019-01-22,1230.47,1234.76,1229.62,1233.06,13654176
2019-01-23,1229.62,1234.76,1226.17,1231.33,16082522
2019-01-24,1232.2,1240.79,1222.74,1230.47,30278670
2019-01-25,1222.74,1227.9,1217.58,1220.16,24316968
2019-01-28,1214.14,1229.62,1213.28,1221.02,24342107
2019-01-29,1220.16,1226.17,1213.28,1221.89,21820310
2019-01-30,1215.88,1221.02,1166.89,1184.07,102189854
2019-01-31,1184.07,1188.37,1146.26,1153.99,42660718
2019-02-01,1146.26,1166.89,1135.08,1138.52,22689189
2019-02-04,1144.55,1162.59,1143.68,1162.59,13433756
2019-02-05,1174.62,1174.62,1158.29,1167.75,13974798
2019-02-06,1192.66,1192.66,1129.07,1135.96,25658576
2019-02-07,1126.5,1145.41,1120.49,1122.21,17501053
2019-02-08,1115.33,1115.33,1085.25,1091.27,18414622
2019-02-12,1097.71,1112.31,1092.14,1109.32,11064416
2019-02-13,1117.06,1119.63,1108.03,1114.9,9426510
2019-02-14,1114.47,1120.49,1102.87,1104.16,9707561
2019-02-15,1100.3,1108.45,1095.58,1107.6,9014997
2019-02-18,1119.63,1142.82,1118.76,1142.4,10407693
2019-02-19,1142.4,1172.91,1142.4,1167.32,19598885
2019-02-20,1158.29,1166.89,1152.28,1160.01,8326271
2019-02-21,1160.01,1160.88,1148.42,1157.43,7619389
2019-02-22,1151.42,1163.44,1150.14,1161.73,6916583
2019-02-25,1162.59,1179.79,1159.15,1179.35,10482058
2019-02-26,1183.21,1188.37,1174.62,1185.36,10966889
2019-02-27,1180.64,1202.12,1178.06,1197.38,17010869
2019-02-28,1192.24,1201.26,1183.21,1194.38,22043640
2019-03-01,1193.52,1193.96,1161.29,1161.29,14733001
2019-03-04,1160.88,1162.59,1139.39,1149.27,14306358
